,Elapsed Time [s],Pressure [kPa],Diameter [px],Strain,Stress
105,10.5,106.77,221.57,0.500022,106.72999999999999
106,10.6,109.63,222.4,0.5046619999999999,109.59
107,10.7,112.54,223.17,0.5091659999999999,112.502
108,10.8,115.5,223.93,0.5135759999999999,115.46600000000001
109,10.9,118.52,224.43,0.51777,118.48400000000001
110,11.0,121.59,224.83,0.521734,121.556
111,11.1,124.72,225.5,0.5259280000000001,124.68400000000001
112,11.2,127.9,226.1,0.5311239999999999,127.86600000000001
113,11.3,131.14,227.03,0.5347359999999999,131.102
114,11.4,134.43,228.27,0.542218,134.394
115,11.5,137.77,227.5,0.5498879999999999,137.74200000000002
116,11.6,141.18,231.03,0.556612,141.14600000000002
117,11.7,144.64,231.77,0.5653520000000001,144.606
118,11.8,148.16,232.0,0.5748620000000001,148.126
119,11.9,151.73,234.73,0.581992,151.702
120,12.0,155.37,234.53,0.591368,155.33800000000002
121,12.1,159.06,236.3,0.6007979999999999,159.03199999999998
122,12.2,162.82,238.7,0.6066140000000001,162.78799999999998
123,12.3,166.63,238.97,0.613162,166.602
124,12.4,170.51,239.03,0.618844,166.926
125,12.5,174.44,239.37,0.622132,164.16
126,12.6,160.68,240.5,0.622984,158.644
127,12.7,148.99,241.13,0.624162,150.66400000000002
128,12.8,139.05,239.6,0.626368,140.46200000000002
129,12.9,130.61,239.9,0.619604,131.79000000000002
130,13.0,123.43,241.0,0.598594,124.42
131,13.1,117.32,235.5,0.568154,118.15599999999999
132,13.2,112.14,225.6,0.43011800000000006,112.83
133,13.3,107.73,217.1,0.28964599999999996,108.30199999999999
134,13.4,103.98,137.87,0.240224,104.454
135,13.5,100.79,137.17,0.22375799999999998,101.18199999999999
136,13.6,98.08,198.97,0.219388,98.4
137,13.7,95.78,213.43,0.31985399999999997,96.036
138,13.8,93.82,213.87,0.42194400000000004,94.02799999999999
139,13.9,92.16,212.13,0.440248,92.32199999999999
140,14.0,90.75,212.63,0.438044,90.86999999999999
141,14.1,89.55,212.5,0.43551400000000007,89.638
142,14.2,88.52,211.8,0.437462,88.59
143,14.3,87.66,212.0,0.43765200000000004,87.69800000000001
144,14.4,86.92,213.57,0.440048,86.94
145,14.5,86.29,212.77,0.445284,86.298
146,14.6,85.76,214.27,0.448085,85.98
147,14.7,85.31,215.67,0.4492133333333333,85.69666666666667
