Elapsed Time [s],Pressure [PSI],Diameter [px]
26.5,75.33,184.2
26.6,77.16,185.6
26.7,75.85,188.4
26.8,79.17,187.6
26.9,81.06,189.4
27.0,80.43,190.2
27.1,77.68,189.2
27.2,78.59,189.2
27.3,84.03,190.0
27.4,81.06,189.2
27.5,85.63,189.2
27.6,83.97,189.4
27.7,82.2,188.6
27.8,82.43,187.8
27.9,80.88,188.6
28.0,83.34,188.6
28.1,85.18,189.4
28.2,85.46,190.2
28.3,91.36,191.0
28.4,91.7,191.0
28.5,91.13,191.0
28.6,95.08,191.0
28.7,90.16,191.0
28.8,61.19,190.2
28.9,20.72,190.2
29.0,8.76,190.2
29.1,5.38,190.0
29.2,4.18,187.4
29.3,3.66,186.4
29.4,3.21,185.4
29.5,2.8,185.4
29.6,2.46,185.6
29.7,2.18,187.4
29.8,2.12,188.4
29.9,1.89,183.2
30.0,1.83,181.6
30.1,1.6,180.0
30.2,1.55,179.2
30.3,1.43,179.2
30.4,1.26,184.6
30.5,1.2,180.0
30.6,1.14,176.0
30.7,1.09,171.2
30.8,1.14,170.4
30.9,1.09,168.8
31.0,1.03,172.6
31.1,0.97,176.6
31.2,0.92,182.2
31.3,0.8,182.2
31.4,0.8,183.0
31.5,0.86,183.8
31.6,0.74,183.8
31.7,0.69,183.0
31.8,0.8,183.0
31.9,0.69,183.0
32.0,0.69,183.0
32.1,0.57,183.0
32.2,0.69,183.0
32.3,0.63,183.0
32.4,0.52,183.0
32.5,0.69,183.0
32.6,0.46,183.8
32.7,0.46,183.8
32.8,0.46,183.8
32.9,0.52,183.8
33.0,0.4,183.8
33.1,0.57,183.0
33.2,0.46,183.0
33.3,0.46,183.0
33.4,0.52,183.0
33.5,0.34,183.0
33.6,0.52,183.0
33.7,0.52,183.0
33.8,0.57,183.0
33.9,0.46,183.0
34.0,0.46,183.0
34.1,0.4,183.0
34.2,0.52,183.0
34.3,0.46,183.0
34.4,0.52,183.0
34.5,0.52,183.0
34.6,0.46,183.0
34.7,0.34,183.0
34.8,0.57,183.0
34.9,0.4,182.8
35.0,0.46,182.6
35.1,0.52,182.4
35.2,0.46,182.4
35.3,0.46,182.4
35.4,0.34,181.8
35.5,0.52,182.0
35.6,0.46,182.2
35.7,0.46,183.0
35.8,0.46,183.0
35.9,0.46,184.6
36.0,0.46,185.4
36.1,0.34,185.4
36.2,0.52,185.4
36.3,0.57,186.2
36.4,0.46,185.4
36.5,0.46,184.6
36.6,0.52,184.6
36.7,0.52,183.8
36.8,0.52,183.0
36.9,0.46,183.0
37.0,0.4,183.0
37.1,799.0,183.0
